trail_id,trail_id,trail_name,dist,elev,difficulty,num_completed,latitude
79,79,Fossil Creek Waterfall Trail,2.4,203.0,1,238.0,34.4048
80,80,Superstition Ridgeline Trail,10.7,4258.0,3,245.0,33.45943
81,81,Thumb Butte Trail 33,2.5,688.0,2,619.0,34.551723
82,82,Courthouse Butte Loop Trail,3.9,357.0,2,896.0,34.80562
83,83,Blackett's Ridge Trail,6.0,1765.0,3,735.0,32.3092969
84,84,Prospector's View Trail,3.5,570.0,2,299.0,33.46762
85,85,Huckaby Trail,5.3,908.0,2,654.0,34.86673
86,86,Holbert Trail,4.6,1115.0,3,848.0,33.3515992
87,87,Pyramid Trail,6.2,1322.0,2,430.0,33.30339
88,88,Dynamite Trail,3.6,387.0,1,767.0,33.1906
89,89,Ford Canyon Loop Trail,9.7,1482.0,3,436.0,33.5999382
